order_id,customer_id,customer_name,email,phone,city,order_date,ship_date,category,unit_price_aed,quantity,payment_method,flag_ship_before_order,flag_invalid_email,flag_price_outlier
ORD003369,CUST00903,Mariam Ahmed,mariam.ahmed60@gmail.com,+971 53 2256714,Ras Al Khaimah,2025-09-26,2025-09-21,Sports,99.53,5,Cash on Delivery,True,False,False
ORD004110,CUST01567,Tariq Ahmed,tariqahmedgmail.com,+971 56 6602776,Abu Dhabi,2025-10-11,2025-10-18,Sports,,4,Cash on Delivery,False,True,False
ORD000094,CUST01252,Amina Sheikh,aminasheikhgmail.com,+971 58 7734157,Ajman,2026-01-18,2026-01-24,Groceries,48.05,2,Credit Card,False,True,False
ORD004696,CUST01593,Salem Al Maktoum,salem.almaktoum77@hotmail.com,+971 57 6096216,Dubai,2026-09-06,2026-06-10,Books,54.7,2,Credit Card,True,False,False
ORD004621,CUST01581,Layla Rahman,layla.rahman25@hotmail.com,+971 51 7578658,Ajman,2025-08-06,2025-08-02,Electronics,42.37,2,Credit Card,True,False,False
ORD004459,CUST01626,Omar Ibrahim,omaribrahimgmail.com,+971 50 7832393,Abu Dhabi,2026-04-14,2026-04-19,Electronics,14.13,4,Apple Pay,False,True,False
ORD000894,CUST00693,Ali Al Suwaidi,alialsuwaidigmail.com,+971 58 4724585,Abu Dhabi,2025-09-06,2025-09-13,Sports,214.71,1,Credit Card,False,True,False
ORD000530,CUST00450,Layla Al Falasi,laylaalfalasigmail.com,+971 56 2699603,Fujairah,2025-09-30,2025-10-09,Fashion,27.0,4,Apple Pay,False,True,False
ORD004449,CUST01571,Reem Al Ali,reem.alali47@gmail.com,+971 59 6494676,Dubai,2025-02-01,2025-01-08,Beauty,107.85,2,Credit Card,True,False,False
ORD004029,CUST01716,Layla Patel,layla.patel@gmail,+971 50 9046590,Ajman,2025-11-04,2025-11-11,Beauty,329.82,3,Credit Card,False,True,False
ORD000262,CUST01776,Rashid Al Ali,rashid.alali24@gmail.com,+971 52 1308234,Sharjah,2025-01-23,2025-01-18,Sports,62.83,4,Cash on Delivery,True,False,False
ORD002935,CUST00117,Mohammed Al Suwaidi,mohammed.alsuwaidi58@yahoo.com,+971 51 8086164,Fujairah,2025-06-03,2025-05-29,Groceries,160.14,2,Credit Card,True,False,False
ORD001699,CUST01215,Amina Sheikh,aminasheikhgmail.com,+971 59 6994207,Dubai,2025-07-04,2025-07-08,Home & Kitchen,,1,Credit Card,False,True,False
ORD000016,CUST01708,Sara Al Ali,sara.alali79@hotmail.com,+971 54 2936571,Ras Al Khaimah,2026-06-26,2026-06-21,Sports,38.0,1,Debit Card,True,False,False
ORD003938,CUST00152,Tariq Al Suwaidi,tariqalsuwaidigmail.com,+971 58 1498929,Sharjah,2026-05-14,2026-05-22,Beauty,17.59,4,Credit Card,False,True,False
ORD004025,CUST01538,Ahmed  Al Amiri,ahmed.alamiri@gmail,+971 59 6105201,Sharjah,2025-12-28,,Electronics,,4,Debit Card,False,True,False
ORD000022,CUST01737,Rashid Sheikh,rashidsheikhgmail.com,+971 56 7361002,Fujairah,2025-11-13,2025-11-19,Toys,53.21,1,Debit Card,False,True,False
ORD003071,CUST01292,Amina Sheikh,amina.sheikh91@gmail.com,+971 54 1343941,Sharjah,2025-11-01,2025-01-19,Home & Kitchen,18.74,1,Debit Card,True,False,False
ORD000237,CUST01203,Mariam Al Rashid,mariam.alrashid53@outlook.com,+971 51 2070258,Dubai,2025-09-05,2025-05-14,Fashion,8.8,4,Credit Card,True,False,False
ORD002317,CUST00011,Ahmed Sheikh,ahmed.sheikh@gmail,+971 57 5952737,Ras Al Khaimah,2026-06-22,2026-06-24,Groceries,154.31,1,Credit Card,False,True,False
